Section,Upper Left Lon,Lower Left Lon,Upper Right Lon,Lower Right Lon,Upper Left Lat,Lower Left Lat,Upper Right Lat,Lower Right Lat,width,height
SG52,125.9997759,125.9997759,132.0000538,132.0000538,-23.9998256,-28.0001035,-23.9998256,-28.0001035,21601,14401
SG53,131.999776,131.999776,138.0000539,138.0000539,-23.9998256,-28.0001035,-23.9998256,-28.0001035,21601,14401
SG54,137.9997761,137.9997761,144.0000541,144.0000541,-23.9998256,-28.0001035,-23.9998256,-28.0001035,21601,14401
SH52,125.9997759,125.9997759,132.0000538,132.0000538,-27.9998257,-32.3151036,-27.9998257,-32.3151036,21601,15535
SH53,131.999776,131.999776,138.0000539,138.0000539,-27.9998257,-32.0001036,-27.9998257,-32.0001036,21601,14401
SH54,137.9997761,137.9997761,144.0000541,144.0000541,-27.9998257,-32.0001036,-27.9998257,-32.0001036,21601,14401
SI53,131.999776,131.999776,138.0000539,138.0000539,-31.9998258,-36.0801037,-31.9998258,-36.0801037,21601,14689
SI54,137.9997761,137.9997761,144.0000541,144.0000541,-31.9998258,-36.0001037,-31.9998258,-36.0001037,21601,14401
SJ54,139.4297762,139.4297762,144.0000541,144.0000541,-35.9998259,-38.8601037,-35.9998259,-38.8601037,16453,10297
